Lee Aaker
Aaliyah
Alvar Aalto
Willie Aames
Kjetil Andr&eacute; Aamodt
Fred G. Aandahl
Caroline Aaron
Hank Aaron
Tommy Aaron
Sani Abacha
Frank Abagnale
Diego Abatantuono
Claudio Abbado
Nicola Abbagnano
Abu Abbas
Ahmad Abbas
Ferhat Abbas
Cleveland Abbe
Leon Abbett
Edward Abbey
Edwin Abbey
Lynn Abbey
Watkins M. Abbitt
Charles Greeley Abbot
Bud Abbott
Edwin A. Abbott
George Abbott
Grace Abbott
Jacob Abbott
James A. Abbott
Jim Abbott
John Abbott
John Abbott
Robert S. Abbott
Wallace Calvin Abbott
Dave Abbruzzese
Gamal Abdel-Nasser
Omar Abdel-Rahman
James Abdnor
Richard A. Abdoo
Abdu'l-Bah&aacute;
Paula Abdul
Kareem Abdul-Jabbar
King Abdullah
King Abdullah II
Umar Farouk Abdulmutallab
Shinzo Abe
Huma Abedin
Niels Henrik Abel
Sid Abel
Walter Abel
Peter Abelard
John E. Abele
Arunah Shepherdson Abell
Mark Abene
David Abercrombie
Ian Abercrombie
Neil Abercrombie
Ralph Abercromby
Kathleen Q. Abernathy
Ralph Abernathy
Robert E. Abernathy
Bob Abernethy
Walter Abish
John Abizaid
Paul Ableman
Philip J. Ablove
James G. Abourezk
Abraham
Edward P. Abraham
F. Murray Abraham
John Abraham
Spencer Abraham
Jim Abrahams
Jon Abrahams
Peter Abrahams
Shirley S. Abrahamson
Norm Abram
Jack Abramoff
Roman Abramovich
Max Abramovitz
Morton I. Abramowitz
Dan Abrams
Elliott Abrams
Floyd Abrams
George S. Abrams
J. J. Abrams
M. H. Abrams
Muhal Richard Abrams
Rachel Abrams
Jerry Abramson
Jill Abramson
Leonard Abramson
Michael Abrash
Alexei A. Abrikosov
Victoria Abril
Dannie Abse
Leo Abse
David Abshire
Mumia Abu-Jamal
Bella Abzug
Candice Accola
Johnny Ace
Kirk Acevedo
An&iacute;bal Acevedo-Vil&aacute;
Chinua Achebe
David W. K. Acheson
Dean Acheson
Edward G. Acheson
William F. Achtmeyer
Andr&eacute; Aciman
Amy Acker
Kathy Acker
Sharon Acker
Arlene Ackerman
Bruce Ackerman
Diane Ackerman
F. Duane Ackerman
Forrest J. Ackerman
Gary Ackerman
Joel Ackerman
Robert Allan Ackerman
Roger G. Ackerman
Josef Ackermann
Joss Ackland
Jensen Ackles
H. Gardner Ackley
Duane Acklie
Peter Ackroyd
Art Acord
Rodolfo Acosta
Manny Acta
Lord Acton
A. Marshall Acuff, Jr.
Eddie Acuff
Roy Acuff
Francisco Javier Ram&iacute;rez Acu&ntilde;a
Jason Acu&ntilde;a
King Ad-Rock
Charles E. Adair
Deborah Adair
E. Ross Adair
Red Adair
Robert Adam
Louis Adamic
Valdas Adamkus
Abigail Adams
Alice Adams
Amy Adams
Ansel Adams
Austin A. Adams
Babe Adams
Brian "Crush" Adams
Brock Adams
Brooke Adams
Brooks Adams
Bryan Adams
Cecil Adams
Charles Follen Adams
Charles Francis Adams IV
Charles Francis Adams, Jr.
Charles Francis Adams
Charles Francis Adams III
Don Adams
Douglas Adams
Edie Adams
Evan Adams
Franklin Pierce Adams
Gerry Adams
Harold L. Adams
Henry Adams
Henry Carter Adams
Henry Cullen Adams
Herbert Baxter Adams
James R. Adams
James Truslow Adams
Jane Adams
Joan Vollmer Adams
Joey Adams
Joey Lauren Adams
John Adams
John Adams
John Couch Adams
John L. Adams
John Quincy Adams
Jonathan Adams
Julie Adams
Kathryn Adams
Lee Adams
L&eacute;onie Adams
Louisa Adams
Mason Adams
Maud Adams
Maude Adams
Michael F. Adams
Nick Adams
Noah Adams
Oleta Adams
Patch Adams
Patrick J. Adams
Randall Adams
Richard Adams
Robert Adams, Jr.
Robin J. Adams
Roger Adams
Ryan Adams
Sam Adams
Samuel Adams
Samuel Hopkins Adams
Sandy Adams
Scott Adams
Scott Adams
Sherman Adams
W. Andrew Adams
Walter S. Adams
William H. Adams III
William Taylor Adams
Yolanda Adams
Harold Adamson
Joy Adamson
Stuart Adamson
Joe Adcock
Joseph P. Addabbo
Charles Addams
Dawn Addams
Jane Addams
Cannonball Adderley
Herb Adderley
Terence E. Adderley
David Addington
Henry Addington
Joseph Addison
Paul T. Addison
Hugh J. Addonizio
Mark Addy
Wesley Addy
George Ade
King Sunny Ade
